"gamma_03","err_03","gamma_05","err_05","gamma_07","err_07"
0.0357142857142857,0.310833333333333,0.0357142857142857,0.326666666666667,0.0357142857142857,0.313333333333333
0.2,0.224166666666667,0.2,0.261666666666667,0.2,0.313333333333333
0.323529411764706,0.155833333333333,0.323529411764706,0.236666666666667,0.323529411764706,0.310833333333333
0.5,0.161428571428571,0.5,0.218571428571429,0.5,0.267142857142857
0.631578947368421,0.141428571428571,0.631578947368421,0.199285714285714,0.631578947368421,0.298571428571429
0.815789473684211,0.22125,0.815789473684211,0.25125,0.815789473684211,0.325625
0.928571428571429,0.324375,0.928571428571429,0.3525,0.928571428571429,0.373125
1.11363636363636,0.171111111111111,1.11363636363636,0.237222222222222,1.11363636363636,0.290555555555556
1.23913043478261,0.115555555555556,1.23913043478261,0.134444444444444,1.23913043478261,0.218888888888889
1.41666666666667,0.055,1.41666666666667,0.089,1.41666666666667,0.1745
1.44,0.0435,1.44,0.0805,1.44,0.161
1.76923076923077,0.0204545454545455,1.76923076923077,0.0304545454545455,1.76923076923077,0.0931818181818182
2.05555555555556,0.0109090909090909,2.05555555555556,0.0159090909090909,2.05555555555556,0.0536363636363636
2.41071428571429,0.00333333333333333,2.41071428571429,0.00791666666666667,2.41071428571429,0.0370833333333333
2.66666666666667,0.0025,2.66666666666667,0.00375,2.66666666666667,0.0220833333333333
2.95161290322581,0.000416666666666667,2.95161290322581,0.00166666666666667,2.95161290322581,0.01
3.296875,0.000384615384615385,3.296875,0.000769230769230769,3.296875,0.005
3.57575757575758,0,3.57575757575758,0,3.57575757575758,0.00423076923076923
3.92647058823529,0,3.92647058823529,0,3.92647058823529,0.00142857142857143
4.28571428571429,0.000333333333333333,4.28571428571429,0.000333333333333333,4.28571428571429,0.00166666666666667
