"gamma","error","gamma","error","gamma","error"
0.01,0.309276797427144,0.01,0.309381527914759,0.01,0.309537105702781
0.125,0.138341751980067,0.125,0.230411773103895,0.125,0.28492461624888
0.236363636363636,0.132490572668994,0.236363636363636,0.252643933654114,0.236363636363636,0.30894393526604
0.342105263157895,0.140723533738605,0.342105263157895,0.278749800280069,0.342105263157895,0.337211495071005
0.45,0.165013195355369,0.45,0.295374540084934,0.45,0.357016543642498
0.563492063492063,0.188998480005401,0.563492063492063,0.324337655754902,0.563492063492063,0.379000053485773
0.676923076923077,0.221113517228701,0.676923076923077,0.351908773586015,0.676923076923077,0.397129299650803
0.786764705882353,0.278781926051553,0.786764705882353,0.383100907188736,0.786764705882353,0.422687180437042
0.894366197183099,0.346259747596877,0.894366197183099,0.425292979636253,0.894366197183099,0.445914640702917
1,0.41734671514585,1,0.472921877740121,1,0.476617473336419
1.02631578947368,0.385220115933676,1.02631578947368,0.444102846799064,1.02631578947368,0.461921697753952
1.24358974358974,0.250923575492329,1.24358974358974,0.368006967714603,1.24358974358974,0.408478550190657
1.46296296296296,0.18926419638972,1.46296296296296,0.331035802628925,1.46296296296296,0.375037538598828
1.68452380952381,0.150790926944864,1.68452380952381,0.291529482653725,1.68452380952381,0.350526216347392
1.90116279069767,0.124071311139571,1.90116279069767,0.272818776550813,1.90116279069767,0.335071079508397
2.12359550561798,0.110703073262584,2.12359550561798,0.256508631094939,2.12359550561798,0.319430490582697
2.34239130434783,0.0976417171474027,2.34239130434783,0.240935876837097,2.34239130434783,0.303145337627852
2.56382978723404,0.0906492645373508,2.56382978723404,0.230822629086075,2.56382978723404,0.299614621128056
2.78350515463918,0.0838618781553187,2.78350515463918,0.226543914735081,2.78350515463918,0.289192555999395
3,0.0802452381610222,3,0.2177932599437,3,0.281749187552272
